iter	Logloss
0	0.6461431911
1	0.6053060548
2	0.5816565798
3	0.5420442744
4	0.5030973098
5	0.4706421569
6	0.4433492603
7	0.4174416512
8	0.3936190181
9	0.3731753379
10	0.3566515266
11	0.3392481925
12	0.3192875996
13	0.3027032105
14	0.2894226731
15	0.2793992237
16	0.2658583027
17	0.2573161386
18	0.2447235362
19	0.2338805679
20	0.22379588
21	0.21475282
22	0.2056196606
23	0.1962518501
24	0.1875076872
25	0.1817303504
26	0.1751910203
27	0.1703103756
28	0.163159617
29	0.1592182051
30	0.1542802338
31	0.1511160527
32	0.1461723014
33	0.1414040012
34	0.1391330011
35	0.1354162941
36	0.1308599636
37	0.1273351408
38	0.124881555
39	0.1222287148
40	0.1189891798
41	0.1157792941
42	0.1135002826
43	0.111543081
44	0.1084817751
45	0.1053612349
46	0.1020009808
47	0.1001029212
48	0.09810874595
49	0.09660864052
50	0.09524868777
51	0.09428062748
52	0.09236804378
53	0.09157083915
54	0.09018735375
55	0.08783410119
56	0.08607067099
57	0.08471290263
58	0.08372522571
59	0.08204282811
60	0.08096065578
61	0.07937357736
62	0.07812542046
63	0.07700411302
64	0.07582213732
65	0.07458577531
66	0.0738623437
67	0.07313109137
68	0.0721386175
69	0.07082673876
70	0.06935003799
71	0.06856568048
72	0.06745251016
73	0.06676665524
74	0.06627841882
75	0.06527610273
76	0.06430997183
77	0.06348587785
78	0.06307154615
79	0.06258935099
80	0.0620792204
81	0.06139521265
82	0.06053006179
83	0.05955533958
84	0.05887363868
85	0.05829335839
86	0.05779765768
87	0.05736643634
88	0.05658735275
89	0.05598472032
90	0.05510079264
91	0.05462156548
92	0.05423644987
93	0.05360677589
94	0.05258782682
95	0.05198149531
96	0.0514856083
97	0.05089179429
98	0.05023723325
99	0.04977875283
100	0.04941838063
101	0.04899964653
102	0.04849892478
103	0.04787094021
104	0.04741635466
105	0.04702576211
106	0.04650773007
107	0.04615642524
108	0.04577052261
109	0.04520743522
110	0.04475789744
111	0.0444107115
112	0.04397100736
113	0.04369699854
114	0.04318474346
115	0.04288376901
116	0.04244711942
117	0.04213942941
118	0.04177099227
119	0.04147662027
120	0.04118210524
121	0.0409896435
122	0.04057828852
123	0.04025325797
124	0.03991564548
125	0.03938026947
126	0.03894853931
127	0.03847120803
128	0.0379930459
129	0.03749960336
